Country,Artist,Album,Genre,Release Year,Monthly Listeners (Millions),Total Streams (Millions),Total Hours Streamed (Millions),Avg Stream Duration (Min),Platform Type,Streams Last 30 Days (Millions),Skip Rate (%),reach_cohort,Momentum_Category,Hours per Stream,Engagement_Category
South Africa,Taylor Swift,1989 (Taylor's Version),Reggaeton,2020,28.93,668.94,2258.9,2.52,Free,30.99,20.25,Mid-Tier (10–50M),Background Catalog,3.3768349926749783,Casual Listening
Japan,BLACKPINK,BORN PINK,K-pop,2021,99.8,2345.24,9575.26,3.16,Free,12.15,31.25,Superstar (50M+),Background Catalog,4.082848663676212,Weak Engagement
Brazil,Ariana Grande,Eternal Sunshine,Rock,2020,20.03,4215.62,17429.49,4.16,Free,194.95,28.87,Mid-Tier (10–50M),Stable Superstar,4.134502161010717,Polarizing Tracks
Spain,Post Malone,Austin,Rock,2019,74.02,215.88,738.67,4.04,Free,95.09,27.58,Superstar (50M+),Background Catalog,3.421669445988512,Polarizing Tracks
South Korea,SZA,SOS,Indie,2022,63.29,258.82,1132.3,3.54,Premium,96.76,12.65,Superstar (50M+),Background Catalog,4.374855111660613,Loyal Hits
Italy,SZA,SOS,Pop,2022,22.56,609.0,2293.38,3.15,Free,159.08,23.8,Mid-Tier (10–50M),High-Momentum Growth,3.7658128078817734,Weak Engagement
Spain,Post Malone,Austin,R&B,2019,96.91,2926.33,11358.56,3.88,Free,74.91,4.49,Superstar (50M+),Legacy Decliner,3.8815034531307133,Loyal Hits
Canada,Dua Lipa,Future Nostalgia,Hip Hop,2023,62.25,4657.7,20931.45,3.75,Free,71.75,7.0,Superstar (50M+),Legacy Decliner,4.493945509586276,Loyal Hits
South Africa,Post Malone,Austin,Hip Hop,2019,49.3,1617.86,5851.32,3.79,Premium,161.3,18.11,Mid-Tier (10–50M),High-Momentum Growth,3.6167035466604034,Loyal Hits
Australia,Taylor Swift,1989 (Taylor's Version),EDM,2020,72.72,1290.95,3329.33,3.91,Premium,109.0,20.11,Superstar (50M+),High-Momentum Growth,2.578976722568651,Loyal Hits
Turkey,Bad Bunny,Nadie Sabe Lo Que Va a Pasar Mañana,Jazz,2019,33.04,2368.55,10031.58,3.7,Free,14.71,7.05,Mid-Tier (10–50M),Background Catalog,4.235325410061008,Loyal Hits
South Korea,Doja Cat,Scarlet,K-pop,2022,37.34,53.56,202.25,3.26,Free,176.7,25.17,Mid-Tier (10–50M),High-Momentum Growth,3.776138909634055,Weak Engagement
Italy,Post Malone,Austin,Classical,2019,32.75,363.54,1612.05,4.14,Free,105.29,20.4,Mid-Tier (10–50M),High-Momentum Growth,4.434312592837101,Loyal Hits
South Africa,Bad Bunny,Nadie Sabe Lo Que Va a Pasar Mañana,Classical,2019,32.94,3222.47,8768.11,3.55,Free,9.71,37.57,Mid-Tier (10–50M),Legacy Decliner,2.7209283561988165,Polarizing Tracks
Canada,Doja Cat,Scarlet,Pop,2022,11.6,998.5,2559.79,3.78,Premium,131.93,21.51,Mid-Tier (10–50M),High-Momentum Growth,2.56363545317977,Polarizing Tracks
Turkey,BTS,Proof,Pop,2023,22.85,3603.33,9102.63,4.34,Premium,185.75,33.45,Mid-Tier (10–50M),Stable Superstar,2.5261716245805963,Polarizing Tracks
Sweden,Post Malone,Austin,Pop,2019,56.24,4694.31,15641.0,3.24,Free,164.9,11.37,Superstar (50M+),Stable Superstar,3.3319060735230526,Casual Listening
India,Karol G,MAÑANA SERÁ BONITO,Hip Hop,2019,8.72,1118.71,3959.08,2.7,Free,106.8,8.39,Emerging (<10M),High-Momentum Growth,3.538968991070072,Casual Listening
Indonesia,Billie Eilish,Happier Than Ever,R&B,2019,62.91,935.54,3740.65,3.33,Free,153.49,23.49,Superstar (50M+),High-Momentum Growth,3.998385958911431,Weak Engagement
Sweden,Karol G,MAÑANA SERÁ BONITO,EDM,2019,17.51,942.96,3114.7,3.18,Free,107.25,24.4,Mid-Tier (10–50M),High-Momentum Growth,3.3031093577670316,Weak Engagement
Italy,SZA,SOS,Indie,2022,99.15,1657.04,5374.51,4.03,Premium,165.4,13.61,Superstar (50M+),High-Momentum Growth,3.243440110075798,Loyal Hits
France,Ed Sheeran,Autumn Variations,Jazz,2019,38.13,2773.68,11064.64,3.22,Premium,90.05,16.49,Mid-Tier (10–50M),Legacy Decliner,3.989155201753627,Casual Listening
India,BTS,Proof,Classical,2023,52.24,4967.39,15417.21,3.1,Free,43.75,13.28,Superstar (50M+),Legacy Decliner,3.1036842285385284,Casual Listening
Mexico,SZA,SOS,Jazz,2022,56.08,4633.32,13016.99,2.58,Premium,32.07,11.33,Superstar (50M+),Legacy Decliner,2.809430386850034,Casual Listening
Turkey,The Weeknd,After Hours,R&B,2023,81.3,504.93,1666.07,4.34,Free,144.99,31.92,Superstar (50M+),High-Momentum Growth,3.2996058859643913,Polarizing Tracks
Canada,Dua Lipa,Future Nostalgia,Classical,2023,59.93,1536.95,6088.75,3.65,Free,156.24,36.95,Superstar (50M+),High-Momentum Growth,3.9615797521064446,Polarizing Tracks
Japan,Olivia Rodrigo,Guts,EDM,2022,93.09,646.68,2613.09,4.0,Free,127.14,25.66,Superstar (50M+),High-Momentum Growth,4.0407775097420675,Polarizing Tracks
India,BTS,Proof,Jazz,2023,32.61,2846.32,8976.33,3.9,Free,11.05,29.53,Mid-Tier (10–50M),Legacy Decliner,3.153661570027263,Polarizing Tracks
Spain,Dua Lipa,Future Nostalgia,Classical,2023,50.97,1149.32,3539.41,3.29,Free,67.9,19.56,Superstar (50M+),Background Catalog,3.0795687885010268,Casual Listening
India,Ariana Grande,Eternal Sunshine,EDM,2020,9.42,2534.02,10256.83,2.76,Free,96.7,8.73,Emerging (<10M),Background Catalog,4.047651557604123,Casual Listening
Spain,Billie Eilish,Happier Than Ever,Classical,2019,56.56,4985.54,17691.17,2.98,Premium,155.58,13.61,Superstar (50M+),Stable Superstar,3.5484962511583498,Casual Listening
Turkey,Drake,For All The Dogs,Hip Hop,2018,41.94,1858.07,5353.06,3.19,Free,154.17,7.6,Mid-Tier (10–50M),High-Momentum Growth,2.880978649889401,Casual Listening
Italy,Ed Sheeran,Autumn Variations,Rock,2019,15.44,272.14,1125.66,2.9,Premium,32.04,29.41,Mid-Tier (10–50M),Background Catalog,4.13632689057103,Weak Engagement
Brazil,Drake,For All The Dogs,Pop,2018,94.95,4637.31,19650.62,4.14,Free,69.31,32.37,Superstar (50M+),Legacy Decliner,4.237504070247622,Polarizing Tracks
South Korea,Dua Lipa,Future Nostalgia,Rock,2023,33.86,3713.06,10856.06,3.59,Premium,110.21,25.3,Mid-Tier (10–50M),Stable Superstar,2.923750222188707,Polarizing Tracks
United Kingdom,Karol G,MAÑANA SERÁ BONITO,Pop,2019,58.72,3334.47,8626.15,2.84,Premium,40.94,28.16,Superstar (50M+),Legacy Decliner,2.5869628456696265,Weak Engagement
Mexico,Taylor Swift,1989 (Taylor's Version),Rock,2020,94.57,379.66,1450.58,3.83,Premium,172.99,1.74,Superstar (50M+),High-Momentum Growth,3.8207343412526997,Loyal Hits
Spain,The Weeknd,After Hours,EDM,2023,97.68,543.04,1700.21,4.23,Free,38.1,20.53,Superstar (50M+),Background Catalog,3.130911166764879,Loyal Hits
Sweden,Ariana Grande,Eternal Sunshine,Pop,2020,25.49,2670.61,8458.19,3.29,Free,4.66,27.69,Mid-Tier (10–50M),Background Catalog,3.167137844911837,Weak Engagement
Italy,Billie Eilish,Happier Than Ever,K-pop,2019,99.6,4894.01,14935.33,2.62,Premium,175.86,35.73,Superstar (50M+),Stable Superstar,3.0517571480238086,Weak Engagement
United States,Ariana Grande,Eternal Sunshine,K-pop,2020,16.02,4491.02,17128.14,2.68,Premium,104.62,27.44,Mid-Tier (10–50M),Stable Superstar,3.81386411104827,Weak Engagement
France,BLACKPINK,BORN PINK,R&B,2021,16.12,4854.16,20967.4,3.16,Free,42.14,6.4,Mid-Tier (10–50M),Legacy Decliner,4.319470310002142,Casual Listening
South Africa,Billie Eilish,Happier Than Ever,R&B,2019,31.59,3540.43,12560.07,2.77,Free,131.59,23.03,Mid-Tier (10–50M),Stable Superstar,3.547611448326898,Weak Engagement
Canada,Olivia Rodrigo,Guts,Hip Hop,2022,53.76,3611.23,10357.98,4.18,Free,145.69,30.85,Superstar (50M+),Stable Superstar,2.868269260058207,Polarizing Tracks
Netherlands,BLACKPINK,BORN PINK,K-pop,2021,74.82,4117.41,15537.85,3.98,Free,156.04,5.16,Superstar (50M+),Stable Superstar,3.7736951141615727,Loyal Hits
Canada,Taylor Swift,1989 (Taylor's Version),Classical,2020,27.42,2856.86,8461.51,2.96,Free,72.49,27.84,Mid-Tier (10–50M),Legacy Decliner,2.9618217203503145,Weak Engagement
Russia,Bad Bunny,Nadie Sabe Lo Que Va a Pasar Mañana,Jazz,2019,47.41,3265.36,9364.9,3.27,Premium,28.37,8.54,Mid-Tier (10–50M),Legacy Decliner,2.867953303770488,Casual Listening
India,BLACKPINK,BORN PINK,Pop,2021,95.07,1151.64,4425.38,2.91,Free,14.16,37.16,Superstar (50M+),Background Catalog,3.8426765308603383,Weak Engagement
Sweden,Doja Cat,Scarlet,Classical,2022,69.1,4340.54,18556.56,3.36,Free,121.98,33.15,Superstar (50M+),Stable Superstar,4.275173135139867,Weak Engagement
Japan,BLACKPINK,BORN PINK,Classical,2021,57.62,2703.99,10228.62,3.91,Free,104.61,18.61,Superstar (50M+),Stable Superstar,3.782787658238381,Loyal Hits
India,SZA,SOS,R&B,2022,54.25,4919.96,12686.13,3.27,Free,38.78,18.14,Superstar (50M+),Legacy Decliner,2.5785026707534207,Casual Listening
South Korea,Post Malone,Austin,K-pop,2019,17.48,1507.38,6539.11,3.88,Free,93.25,26.2,Mid-Tier (10–50M),Background Catalog,4.338063394764426,Polarizing Tracks
Brazil,Karol G,MAÑANA SERÁ BONITO,Jazz,2019,18.8,2947.97,12642.83,3.59,Premium,83.3,18.58,Mid-Tier (10–50M),Legacy Decliner,4.2886562617665716,Loyal Hits
Canada,Dua Lipa,Future Nostalgia,Classical,2023,89.68,4418.61,11843.46,3.15,Free,143.96,5.82,Superstar (50M+),Stable Superstar,2.680358755355191,Casual Listening
Germany,Karol G,MAÑANA SERÁ BONITO,Rock,2019,36.93,2642.9,8637.46,4.08,Free,76.36,15.84,Mid-Tier (10–50M),Background Catalog,3.268175110673881,Loyal Hits
Canada,SZA,SOS,Indie,2022,87.26,4320.23,12201.4,2.79,Free,84.5,13.07,Superstar (50M+),Legacy Decliner,2.8242477831041404,Casual Listening
Sweden,BTS,Proof,Reggaeton,2023,89.96,4804.15,12044.32,4.03,Free,92.27,34.36,Superstar (50M+),Legacy Decliner,2.50706576605643,Polarizing Tracks
